1.0,-0.0171115
1.258925,-0.0270887
1.584893,-0.0428548
1.995262,-0.0677257
2.511886,-0.106854
3.162278,-0.168155
3.981072,-0.263572
5.011872,-0.41063
6.309573,-0.633958
7.943282,-0.965944
10.0,-1.44507
12.58925,-2.11038
15.84893,-2.99214
19.95262,-4.10214
25.11886,-5.4294
31.62278,-6.94416
39.81072,-8.60752
50.11872,-10.3808
63.09573,-12.2315
79.43282,-14.1345
100.0,-16.0722
125.8925,-18.0325
158.4893,-20.0072
199.5262,-21.9911
251.1886,-23.981
316.2278,-25.9746
398.1072,-27.9705
501.1872,-29.968
630.9573,-31.9664
794.3282,-33.9653
1000.0,-35.9647
1258.925,-37.9643
1584.893,-39.964
1995.262,-41.9639
2511.886,-43.9638
3162.278,-45.9637
3981.072,-47.9637
5011.872,-49.9636
6309.573,-51.9636
7943.282,-53.9636
10000.0,-55.9636
12589.25,-57.9636
15848.93,-59.9636
19952.62,-61.9636
25118.86,-63.9636
31622.78,-65.9636
39810.72,-67.9636
50118.72,-69.9636
63095.73,-71.9636
79432.82,-73.9636
100000.0,-75.9636
125892.5,-77.9636
158489.3,-79.9636
199526.2,-81.9636
251188.6,-83.9636
316227.8,-85.9636
398107.2,-87.9636
501187.2,-89.9636
630957.3,-91.9636
794328.2,-93.9636
1000000.0,-95.9636
1258925.0,-97.9636
1584893.0,-99.9636
1995262.0,-101.964
2511886.0,-103.964
3162278.0,-105.964
3981072.0,-107.964
5011872.0,-109.964
6309573.0,-111.964
7943282.0,-113.964
10000000.0,-115.964
12589250.0,-117.964
15848930.0,-119.964
19952620.0,-121.964
25118860.0,-123.964
31622780.0,-125.964
39810720.0,-127.964
50118720.0,-129.964
63095730.0,-131.964
79432820.0,-133.964
100000000.0,-135.964
